Name,Review,Number Of Reviews,Genre,Tags,Dev_Info,Developer,Publisher,Release_Date,link,Price
Tiny Combat Arena,Very Positive,"(1,213)","['Action, Simulation, Early Access']","['Single-player', 'Steam Cloud']","['Action, Simulation, Early Access']",Why485,MicroProse Software,"22 Feb, 2022",https://store.steampowered.com/app/1347550/Tiny_Combat_Arena/?snr=1_7_7_7000_150_42,$10.49
Cricket 22,Very Positive,"(1,543)","['Simulation, Sports']","['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Cloud', 'Remote Play Together']","['Simulation, Sports']",Big Ant Studios,Nacon,"1 Dec, 2021",https://store.steampowered.com/app/1701380/Cricket_22/?snr=1_7_7_7000_150_42,$24.99
Penumbra Overture,Very Positive,"(3,040)","['Action, Adventure, Indie']","['Single-player', 'Captions available']","['Action, Adventure, Indie']",Frictional Games,Frictional Games,"30 Mar, 2007",https://store.steampowered.com/app/22180/Penumbra_Overture/?snr=1_7_7_7000_150_42,$9.99
Age of Wonders III,Very Positive,"(6,714)","['RPG, Strategy']","['Single-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Remote Play Together']","['RPG, Strategy']",Triumph Studios,Paradox Interactive,"31 Mar, 2014",https://store.steampowered.com/app/226840/Age_of_Wonders_III/?snr=1_7_7_7000_150_42,$17.99
Say No! More,Very Positive,(806),"['Casual, Indie']","['Single-player', 'Steam Achievements', 'Steam Cloud']","['Casual, Indie']",Studio Fizbin,Thunderful Publishing,"9 Apr, 2021",https://store.steampowered.com/app/1191900/Say_No_More/?snr=1_7_7_7000_150_42,$7.99
War for the Overworld,Very Positive,"(5,937)","['Indie, Simulation, Strategy']","['Single-player', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor']","['Indie, Simulation, Strategy']",Brightrock Games,Brightrock Games,"2 Apr, 2015",https://store.steampowered.com/app/230190/War_for_the_Overworld/?snr=1_7_7_7000_150_42,$29.99
Tom Clancy's Ghost Recon®,Very Positive,"(1,211)",['Action'],['Single-player'],['Action'],Red Storm Entertainment,Ubisoft,"13 Nov, 2001",https://store.steampowered.com/app/15300/Tom_Clancys_Ghost_Recon/?snr=1_7_7_7000_150_42,$7.99
Yomawari: Lost in the Dark,Very Positive,(184),"['Adventure, Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['Adventure, Strategy']","Nippon Ichi Software, Inc.","NIS America, Inc.","25 Oct, 2022",https://store.steampowered.com/app/1998330/Yomawari_Lost_in_the_Dark/?snr=1_7_7_7000_150_42,$19.99
Rolling Line,Overwhelmingly Positive,"(1,759)","['Casual, Indie, Simulation']","['Single-player', 'Tracked Controller Support', 'VR Supported', 'Steam Workshop', 'Includes level editor']","['Casual, Indie, Simulation']",Gaugepunk Games,Gaugepunk Games,"27 Apr, 2018",https://store.steampowered.com/app/754150/Rolling_Line/?snr=1_7_7_7000_150_42,$10.49
ENCODYA,Mostly Positive,(251),['Adventure'],"['Single-player', 'Steam Achievements']",['Adventure'],Chaosmonger Studio,Assemble Entertainment,"26 Jan, 2021",https://store.steampowered.com/app/1137450/ENCODYA/?snr=1_7_7_7000_150_42,$1.24
